swan_ID,year,fall_mig_onset,spring_arrival,spring_arrival_comment,mig_duration,mig_duration_comment,fall_mig_onset_comment
2A,2A-2019-2020,114.5064339,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
4A,4A-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
5A,5A-2019-2020,117.5003273,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
6A,6A-2019-2020,132.4005088,252.4999188,NA,120.09940999999998,NA,NA
3A,3A-2019-2020,127.5019941,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
2J,2J-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
7A,7A-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
3J,3J-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
5J,5J-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
4J,4J-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
4J,4J-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
4J,4J-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
6J,6J-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
6J,6J-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
7J,7J-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
7J,7J-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
7J,7J-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
9J (first deployment),9J (first deployment)-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
9A,9A-2019-2020,130.4897465,246.4983278,NA,116.0085813,NA,NA
9A,9A-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
2K,2K-2019-2020,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint
2K,2K-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
2K,2K-2021-2022,NA,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
3K,3K-2019-2020,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint
3K,3K-2020-2021,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint
3K,3K-2021-2022,NA,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
4K,4K-2019-2020,122.5006331,268.5004521,NA,145.999819,NA,NA
4K,4K-2020-2021,169.9091218,258.4990954,NA,88.58997359999998,NA,NA
4K,4K-2021-2022,151.5007439,261.4956667,NA,109.99492280000001,NA,NA
6K,6K-2019-2020,129.4998505,224.4988213,NA,94.9989708,NA,NA
6K,6K-2020-2021,103.679013,216.4998173,NA,112.82080429999999,NA,NA
6K,6K-2021-2022,86.71437659,203.4949857,NA,116.78060911,NA,NA
5K,5K-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
8A,8A-2020-2021,178.5033778,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
8A,8A-2021-2022,NA,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
1A,1A-2020-2021,110.4999417,246.498179,NA,135.9982373,NA,NA
1A,1A-2021-2022,110.0402782,246.5001169,NA,136.45983869999998,NA,NA
1A,1A-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
0A,0A-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
0A,0A-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
1E,1E-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
1E,1E-2021-2022,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint
1E,1E-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
2E,2E-2020-2021,116.5002066,257.50059,NA,141.00038339999998,NA,NA
2E,2E-2021-2022,140.4991526,260.4998331,NA,120.00068049999999,NA,NA
0E,0E-2020-2021,117.4978598,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
9E,9E-2020-2021,140.5000814,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
8E,8E-2020-2021,153.4993844,250.5024553,NA,97.00307090000001,NA,NA
6E,6E-2020-2021,89.91292117,259.4985687,NA,169.58564753000002,NA,NA
6E,6E-2021-2022,110.0005849,272.49705,NA,162.4964651,NA,NA
6E,6E-2022-2023,100.0854359,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
7E,7E-2020-2021,177.4927655,248.4947974,NA,71.00203190000002,NA,NA
7E,7E-2021-2022,162.8281501,234.2126421,NA,71.38449200000002,NA,NA
7E,7E-2022-2023,155.7340101,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
1R,1R-2020-2021,152.497633,242.498112,NA,90.00047899999998,NA,NA
0R,0R-2020-2021,136.4992792,247.5007238,NA,111.00144460000001,NA,NA
0R,0R-2021-2022,150.4995651,247.4995878,NA,97.00002269999999,NA,NA
0R,0R-2022-2023,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint
0H,0H-2020-2021,114.225974,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
0H,0H-2021-2022,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint
3R,3R-2020-2021,118.4986239,242.4993105,NA,124.00068660000001,NA,NA
3R,3R-2021-2022,150.5024233,248.5001676,NA,97.9977443,NA,NA
3R,3R-2022-2023,134.835419,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
2R,2R-2020-2021,129.7651855,243.4956438,NA,113.73045830000001,NA,NA
1H,1H-2020-2021,64.49823126,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
1H,1H-2021-2022,140.2642662,257.5031029,NA,117.23883669999998,NA,NA
2H,2H-2020-2021,65.84388181,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
3H,3H-2020-2021,112.5169353,249.4986977,NA,136.9817624,NA,NA
3H,3H-2021-2022,115.2760134,264.3616718,NA,149.0856584,NA,NA
3H,3H-2022-2023,133.4980479,277.4974497,NA,143.99940180000002,NA,NA
4H,4H-2020-2021,121.4993758,263.5022045,NA,142.0028287,NA,NA
4H,4H-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
5H,5H-2020-2021,120.4821186,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
6R,6R-2020-2021,90.50127707,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
5R,5R-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
5R,5R-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
4R,4R-2020-2021,121.4547605,253.4988497,NA,132.04408919999997,NA,NA
4R,4R-2021-2022,136.5033406,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
3E,3E-2020-2021,177.4536051,247.4958289,NA,70.04222379999999,NA,NA
3E,3E-2021-2022,135.6816062,247.5013667,NA,111.8197605,NA,NA
0M,0M-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
0M,0M-2021-2022,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint
0M,0M-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
7R,7R-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
8R,8R-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
8R,8R-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
9R,9R-2020-2021,90.98053786,268.4990204,NA,177.51848254,NA,NA
9R,9R-2021-2022,148.4984565,260.500391,NA,112.00193449999998,NA,NA
9R,9R-2022-2023,133.7834239,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
2T,2T-2020-2021,122.1000125,249.497756,NA,127.3977435,NA,NA
2T,2T-2021-2022,177.5167131,248.4942209,NA,70.97750779999998,NA,NA
2T,2T-2022-2023,169.5007682,259.4990378,NA,89.99826959999999,NA,NA
0N,0N-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
3T,3T-2021-2022,141.3869122,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
1N,1N-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
1N,1N-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
2N,2N-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
3N,3N-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
3N,3N-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
6T,6T-2020-2021,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,can't consider a migrant with only 1 changepoint
6T,6T-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
6H,6H-2020-2021,116.5013593,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
7H,7H-2020-2021,112.1584783,248.5016913,NA,136.343213,NA,NA
8H,8H-2020-2021,110.4847644,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
1M,1M-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
1M,1M-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
2M,2M-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
2M,2M-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
2M,2M-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
3M,3M-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
